순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
252,001680,대상,"26,000","100","0.4","160,708","4,175,599,250","26,000","26,150","25,750","900,848,650,000","0.04","34,648,025",,,
253,314130,지놈앤컴퍼니,"79,000","-1,000","-1.2","8,350","666,769,300","81,000","81,000","79,000","894,238,683,000","0.04","11,319,477",,,
254,284740,쿠쿠홈시스,"39,700","150","0.4","33,058","1,308,434,100","39,850","39,850","39,400","890,762,001,000","0.04","22,437,330",,,
255,000150,두산,"53,800","100","0.2","76,814","4,139,928,700","53,900","54,500","53,400","888,982,323,000","0.04","16,523,835",,,
256,348950,제이알글로벌리츠,"5,320","20","0.4","496,373","2,649,873,190","5,320","5,400","5,290","880,992,000,000","0.04","165,600,000",,,
257,144510,녹십자랩셀,"83,100","1,800","2.2","356,879","29,070,499,900","81,300","83,400","78,400","877,041,887,400","0.04","10,554,054",,,
258,178320,서진시스템,"48,300","-600","-1.2","197,896","9,597,061,750","49,250","49,350","48,150","874,262,167,800","0.04","18,100,666",,,
259,230360,에코마케팅,"26,800","0","0.0","159,862","4,246,257,150","26,800","26,900","26,300","871,479,023,200","0.04","32,517,874",,,
260,058820,CMG제약,"6,260","90","1.5","3,946,175","24,733,754,080","6,190","6,370","6,150","869,465,447,440","0.04","138,892,244",,,
261,001800,오리온홀딩스,"13,850","350","2.6","271,915","3,742,643,150","13,550","13,900","13,500","867,639,094,700","0.04","62,645,422",,,
262,053030,바이넥스,"27,300","50","0.2","433,491","11,927,552,800","27,500","27,900","27,050","866,803,610,400","0.04","31,751,048",,,
263,215600,신라젠,"12,100","0","0.0","0","0","0","0","0","866,567,212,500","0.04","71,617,125",,,
264,041960,코미팜,"13,500","0","0.0","169,742","2,284,660,400","13,400","13,600","13,350","866,509,326,000","0.04","64,185,876",,,
265,084990,헬릭스미스,"32,200","50","0.2","298,755","9,717,004,050","32,300","33,200","31,800","861,855,990,800","0.04","26,765,714",,,
266,003240,태광산업,"765,000","4,000","0.5","714","545,347,000","758,000","768,000","757,000","851,751,000,000","0.04","1,113,400",,,
267,033270,유나이티드제약,"52,200","2,000","4.0","429,484","22,065,007,000","50,600","52,500","50,200","847,979,708,400","0.04","16,244,822",,,
268,079160,CJ CGV,"24,000","400","1.7","325,660","7,780,004,250","23,450","24,150","23,350","842,400,000,000","0.04","35,100,000",,,
269,122450,KMH,"37,100","2,950","8.6","3,001,235","112,241,382,700","33,000","40,650","32,800","840,982,132,200","0.04","22,667,982",,,
270,950130,엑세스바이오,"23,150","-450","-1.9","965,628","22,655,198,700","23,800","24,150","23,050","840,704,450,050","0.04","36,315,527",,,
271,005440,현대그린푸드,"8,580","-90","-1.0","473,868","4,061,052,710","8,670","8,690","8,520","838,304,455,560","0.04","97,704,482",,,
272,042700,한미반도체,"16,250","-500","-3.0","630,014","10,314,320,550","16,800","16,900","16,100","836,899,391,250","0.04","51,501,501",,,
273,241590,화승엔터프라이즈,"13,750","-150","-1.1","100,331","1,379,107,800","13,850","13,900","13,650","832,379,212,500","0.04","60,536,670",,,
274,122870,와이지엔터테인먼트,"45,050","150","0.3","136,172","6,130,976,800","44,950","45,300","44,550","829,576,333,450","0.04","18,414,569",,,
275,131370,알서포트,"15,550","-200","-1.3","1,693,428","26,739,679,350","15,900","16,200","15,350","828,303,140,650","0.04","53,267,083",,,
276,014820,동원시스템즈,"32,300","-150","-0.5","83,076","2,696,021,850","32,600","33,050","31,950","827,477,905,300","0.04","25,618,511",,,
277,210980,SK디앤디,"43,100","-250","-0.6","64,561","2,793,676,100","43,700","43,900","42,750","818,476,068,400","0.04","18,990,164",,,
278,083790,크리스탈지노믹스,"17,700","100","0.6","686,183","11,978,403,450","17,700","17,800","17,150","812,274,328,500","0.04","45,891,205",,,
279,290650,엘앤씨바이오,"36,950","1,850","5.3","452,508","16,525,910,150","35,050","37,400","34,650","808,355,445,600","0.04","21,877,008",,,
280,213420,덕산네오룩스,"33,400","100","0.3","190,926","6,382,943,300","33,800","34,000","33,100","801,934,400,800","0.04","24,010,012",,,
281,000640,동아쏘시오홀딩스,"129,500","1,000","0.8","37,615","4,846,402,000","129,000","131,000","127,500","797,090,371,000","0.03","6,155,138",,,
282,005850,에스엘,"16,500","-150","-0.9","56,201","929,051,600","16,650","16,650","16,450","795,354,070,500","0.03","48,203,277",,,
283,006040,동원산업,"215,000","-2,500","-1.2","6,198","1,337,362,000","218,000","218,500","215,000","790,692,815,000","0.03","3,677,641",,,
284,103140,풍산,"28,150","100","0.4","176,495","4,966,007,750","28,100","28,400","27,950","788,883,425,700","0.03","28,024,278",,,
285,033640,네패스,"33,850","50","0.2","240,943","8,141,641,450","33,900","34,300","33,450","780,553,987,700","0.03","23,059,202",,,
286,001230,동국제강,"8,150","100","1.2","1,182,890","9,710,594,320","8,220","8,340","8,120","777,776,806,550","0.03","95,432,737",,,
287,214370,케어젠,"71,700","600","0.8","36,467","2,608,369,900","71,500","74,200","70,600","770,273,100,000","0.03","10,743,000",,,
288,011930,신성이엔지,"3,820","-65","-1.7","9,754,755","37,049,609,415","3,710","3,855","3,710","766,994,906,740","0.03","200,784,007",,,
289,005880,대한해운,"3,130","-30","-1.0","5,939,825","18,717,221,720","3,180","3,205","3,125","764,568,511,700","0.03","244,271,090",,,
290,039130,하나투어,"54,100","300","0.6","148,094","7,970,692,300","53,600","54,900","53,000","754,109,908,500","0.03","13,939,185",,,
291,003230,삼양식품,"99,900","1,000","1.0","61,948","6,180,252,900","99,300","100,500","98,600","752,548,198,500","0.03","7,533,015",,,
292,089980,상아프론테크,"47,800","-200","-0.4","495,732","23,744,103,850","47,750","48,600","46,950","751,643,767,000","0.03","15,724,765",,,
293,033660,아주캐피탈,"13,050","50","0.4","22,491","294,007,500","13,000","13,250","12,950","750,973,864,500","0.03","57,545,890",,,
294,100090,삼강엠앤티,"21,350","-1,500","-6.6","1,644,509","36,266,822,950","22,900","23,250","21,150","749,228,589,900","0.03","35,092,674",,,
295,115450,지트리비앤티,"27,500","-850","-3.0","371,100","10,297,904,900","28,050","28,050","27,500","740,006,905,000","0.03","26,909,342",,,
296,192650,드림텍,"11,900","-450","-3.6","601,255","7,218,771,400","12,400","12,450","11,800","739,433,691,500","0.03","62,137,285",,,
297,084370,유진테크,"32,150","-850","-2.6","191,182","6,226,968,800","33,250","33,300","32,050","736,750,750,300","0.03","22,916,042",,,
298,090460,비에이치,"21,900","250","1.2","966,339","21,294,562,500","21,900","22,250","21,800","733,051,867,200","0.03","33,472,688",,,
299,048260,오스템임플란트,"51,300","-800","-1.5","72,947","3,754,095,900","52,000","52,200","51,200","732,857,282,100","0.03","14,285,717",,,
300,071840,롯데하이마트,"31,000","-400","-1.3","81,741","2,547,700,900","31,450","31,600","30,900","731,839,072,000","0.03","23,607,712",,,
301,078600,대주전자재료,"48,100","-500","-1.0","378,497","18,333,159,550","49,350","49,400","47,500","731,203,934,500","0.03","15,201,745",,,
302,092190,서울바이오시스,"19,050","350","1.9","1,396,296","26,665,118,750","18,700","19,650","18,400","728,160,589,650","0.03","38,223,653",,,
303,020000,한섬,"29,450","-100","-0.3","40,107","1,186,703,700","29,500","29,850","29,400","725,353,500,000","0.03","24,630,000",,,
304,300720,한일시멘트,"104,500","1,500","1.5","4,176","436,379,500","104,000","106,000","103,500","723,783,093,000","0.03","6,926,154",,,
305,009450,경동나비엔,"52,900","700","1.3","41,355","2,157,545,700","52,200","52,900","52,000","719,690,217,000","0.03","13,604,730",,,
306,064960,S&T모티브,"49,100","-850","-1.7","27,682","1,366,055,050","49,800","49,900","49,050","717,995,977,600","0.03","14,623,136",,,
307,170900,동아에스티,"84,900","1,400","1.7","42,033","3,543,792,700","83,600","85,000","83,600","716,884,393,200","0.03","8,443,868",,,
308,131970,테스나,"48,450","0","0.0","218,343","10,664,824,800","49,250","49,600","47,950","715,101,505,650","0.03","14,759,577",,,
309,034310,NICE,"18,750","0","0.0","27,513","516,581,600","18,850","18,900","18,650","710,293,125,000","0.03","37,882,300",,,
310,001060,JW중외제약,"33,900","350","1.0","97,231","3,306,448,500","33,900","34,400","33,550","709,189,830,600","0.03","20,920,054",,,
311,085620,미래에셋생명,"3,975","-30","-0.8","104,263","414,925,240","3,985","4,025","3,970","703,639,351,275","0.03","177,016,189",,,
